河南央卫,#genre#
风云足球,http://113.195.44.106:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=0&authid=0
快乐垂钓,http://113.195.44.106:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
江西教育,http://113.195.44.106:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=0&authid=0
女性时尚,http://113.195.44.106:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=0&authid=0
世界地理,http://113.195.44.106:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=0&authid=0
测试9,http://113.195.44.106:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育2,http://113.195.44.106:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育卫视,http://113.195.44.106:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://113.195.44.106:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://113.195.44.106:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷酷通,http://113.195.44.106:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://113.195.44.106:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://113.195.44.106:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
中国天气,http://113.195.44.106:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://113.195.44.106:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://113.195.44.106:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
四海钓鱼,http://113.195.44.106:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=0&authid=0
武术世界,http://113.195.44.106:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=0&authid=0
梨园频道,http://113.195.44.106:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0


河北央卫,#genre#

CCTV1-综合,http://123.182.210.179:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.182.210.179:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.182.210.179:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.182.210.179:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://123.182.210.179:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://123.182.210.179:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://123.182.210.179:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://123.182.210.179:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://123.182.210.179:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv&playlive=1&authid=0
